"","word1","hit1","hit1_n","hit2","hit2_n","hit3","hit3_n","ngram_n"
"1191","cooks","and",8,"in",6,"for",5,98
"1192","while","i",1047,"the",800,"we",334,10114
"1193","ceo","of",88,"and",11,"is",11,315
"1194","top","of",1126,"10",162,"and",133,4628
"1195","bed","and",263,"with",107,"i",97,2639
"1196","nite","nite",13,"in",9,"and",7,248
"1197","married","to",118,"and",91,"in",52,963
"1198","rock","and",152,"n",103,"the",81,2170
"1199","chain","of",45,"and",23,"reaction",14,340
"1200","instead","of",1822,"i",145,"they",48,2958
"1201","wedding","and",53,"anniversary",35,"day",35,1191
"1202","board","of",152,"and",92,"member",44,1404
"1203","surprised","to",122,"by",82,"that",75,918
"1204","blocked","the",21,"me",19,"by",12,213
"1205","sitting","in",413,"on",269,"here",135,1777
"1206","ny","times",38,"and",22,"is",21,714
"1207","webbys","great",1,NA,NA,NA,NA,1
"1208","mentions","are",17,"and",11,"of",11,249
"1209","horrible","and",21,"i",16,"to",14,629
"1210","weirdly","the",3,"compelling",2,"it",2,32
"1211","complex","and",58,"as",16,"in",14,556
"1212","value","of",249,"in",50,"to",49,1100
"1213","qual","all",1,"any",1,"is",1,5
"1214","human","being",163,"rights",163,"beings",156,2239
"1215","component","of",45,"to",11,"in",7,118
"1216","seems","to",1220,"like",647,"that",174,3373
"1217","tonight's","game",29,"show",24,"episode",19,373
"1218","episode","of",329,"is",45,"was",29,1083
"1219","orleans","and",10,"for",8,"saints",8,232
"1220","gourmet","food",6,"gift",3,"is",3,92
"1221","talks","about",177,"to",55,"with",30,489
"1222","partnership","with",35,"and",13,"between",9,179
"1223","use","the",860,"of",767,"it",600,8122
"1224","advanced","to",7,"by",5,"economies",5,243
"1225","specific","to",21,"about",17,"and",11,796
"1226","search","for",236,"of",97,"and",51,1028
"1227","tools","and",65,"to",51,"for",46,574
"1228","community","and",126,"of",86,"is",72,2092
"1229","college","and",117,"of",74,"football",70,2083
"1230","students","and",137,"to",130,"are",110,2410
"1231","def","a",17,"be",17,"not",17,431
"1232","finished","the",192,"a",160,"my",123,2022
"1233","gabrielle","giffords",6,"hamilton's",2,"9",1,25
"1234","hamilton's","blood",2,"4",1,"childhood",1,11
"1235","blood","pressure",120,"and",106,"of",57,1366
"1236","bones","and",34,"of",16,"but",11,269
"1237","butter","and",151,"in",47,"is",22,922
"1238","girls","are",168,"and",153,"in",110,2950
"1239","product","of",111,"and",48,"is",47,1054
"1240","launch","of",84,"party",39,"the",26,529
"1241","dropbox","for",2,"has",2,"account",1,30
"1242","sweetness","of",14,"and",9,"but",6,109
"1243","users","to",42,"and",28,"of",23,426
"1244","document","the",13,"and",10,"which",9,251
"1245","cpshow","hosted",1,NA,NA,NA,NA,1
"1246","hosted","by",139,"a",16,"the",11,240
"1247","we'd","love",162,"like",62,"be",56,579
"1248","stop","by",644,"the",213,"in",205,5590
"1249","booth","at",33,"and",21,"with",11,436
"1250","enter","the",204,"to",61,"into",58,832
"1251","raffle","tickets",9,"for",7,"prizes",6,75
"1252","chance","to",1169,"of",257,"for",71,2425
"1253","large","bowl",92,"and",60,"number",51,2216
"1254","screen","and",60,"is",21,"time",20,881
"1255","polish","and",19,"is",10,"i",8,246
"1256","insert","a",11,"your",9,"the",8,173
"1257","denver","broncos",27,"and",18,"co",17,510
"1258","broncos","fan",10,"are",7,"will",7,211
"1259","q.b","in",1,NA,NA,NA,NA,1
"1260","2012","is",95,"and",93,"the",78,2412
"1261","andrew","luck",35,"and",17,"bynum",12,424
"1262","luck","to",280,"with",198,"in",99,1863
"1263","barkley","is",5,"on",3,"a",2,57
"1264","does","not",1723,"it",711,"that",484,8169
"1265","realize","that",481,"how",125,"i",80,1475
"1266","crucial","to",23,"for",9,"that",8,173
"1267","sia","3",1,"but",1,"day",1,9
"1268","murdered","by",19,"in",14,"and",8,145
"1269","flo","rida",14,"make",3,"rida's",2,44
"1270","rida","is",3,"anthem",1,"bootswiththefur",1,13
"1271","wild","and",63,"things",39,"one",23,949
"1272","steals","the",17,"and",5,"in",5,90
"1273","jammin","to",14,"out",9,"in",6,58
"1274","grateful","for",243,"to",97,"that",60,593
"1275","computer","and",104,"i",34,"is",34,1267
"1276","tiny","bit",52,"little",52,"and",14,847
"1277","blackberry","and",9,"is",6,"bold",4,142
"1278","hear","the",423,"that",324,"about",277,4418
"1279","em","out",49,"up",42,"all",40,912
"1280","fuck","you",243,"it",153,"up",153,2469
"1281","george","w",55,"zimmerman",43,"washington",30,901
"1282","karl","marx",10,"rove",10,"lagerfeld",7,115
"1283","can't","wait",3140,"believe",625,"be",398,11343
"1284","songsilistentoeveryday","every",2,NA,NA,NA,NA,2
"1285","recording","of",40,"and",26,"a",23,498
"1286","homie","and",7,"i",7,"i'm",7,197
"1287","phone","and",171,"call",167,"calls",133,3144
"1288","battery","life",22,"is",16,"and",7,236
"1289","dying","to",90,"of",34,"for",23,567
"1290","bob","dylan",43,"marley",35,"and",27,613
"1291","sleep","in",194,"and",159,"i",111,3012
"1292","dawn","of",19,"and",17,"on",10,272
"1293","island","and",59,"of",45,"in",29,870
"1294","vacation","and",36,"in",36,"to",31,648
"1295","comin","to",15,"up",15,"out",14,141
"1296","connected","to",153,"with",68,"and",12,413
"1297","disconnected","from",15,"and",4,"clouded",1,43
"1298","buckley","jr",2,"says",2,"2",1,23
"1299","guitars","and",22,"are",5,"bass",3,97
"1300","texas","and",60,"is",28,"a",27,980
"1301","setting","up",180,"the",61,"a",32,792
"1302","standard","of",50,"for",34,"in",14,616
"1303","electric","mixer",30,"guitar",14,"and",12,405
"1304","breed","of",18,"in",7,"a",5,117
"1305","multi","tasking",19,"million",14,"colored",13,328
"1306","slacker","and",2,"but",2,"i",2,25
"1307","non","profit",106,"stop",78,"fiction",59,1774
"1308","henry","david",31,"ford",30,"ward",17,364
"1309","sara","kate",4,"at",3,"burrier",3,125
"1310","myself","to",406,"and",339,"i",260,4910
"1311","gus","gus",4,"johnson",2,"potthoff",2,42
"1312","potthoff","exhibit",1,"paints",1,NA,NA,2
"1313","exhibit","at",18,"hall",15,"a",14,249
"1314","moved","to",329,"on",109,"in",78,1337
"1315","walnut","creek",8,"stain",8,"and",3,80
"1316","maple","syrup",42,"bacon",6,"and",4,135
"1317","12","hours",84,"30",83,"years",76,2915
"1318","15","minutes",317,"years",121,"and",64,2477
"1319","refreshments","will",5,"to",2,"and",1,20
"1320","truth","is",243,"and",111,"of",81,1633
"1321","jusx","kiddin",1,NA,NA,NA,NA,1
"1322","baltimore","city",19,"md",18,"for",12,441
"1323","hf","twestival",5,"517",1,"advances",1,10
"1324","twestival","coming",2,"love",2,"2011",1,9
"1325","abracadabra","by",2,"i'm",1,"smoke",1,4
"1326","ima","be",58,"go",22,"get",20,450
"1327","sex","with",129,"and",120,"marriage",72,1595
"1328","kusi","appearances",1,"at",1,"dot",1,5
"1329","mad","at",227,"men",128,"i",59,1384
"1330","hahaha","i",155,"you",32,"yeah",29,1005
"1331","periodic","and",1,"attempts",1,"benefit",1,21
"1332","pop","up",136,"culture",61,"in",45,1124
"1333","culture","and",107,"of",93,"is",52,1012
"1334","updates","on",76,"and",36,"from",32,439
"1335","knowing","that",235,"what",76,"the",67,1076
"1336","barber","shop",10,"of",6,"shops",3,59
"1337","tragically","hip",3,"killed",3,"unhip",2,29
"1338","migraine","and",3,"this",2,"today",2,46
"1339","haywire","is",3,"2011",1,"all",1,13
"1340","premiere","of",68,"in",6,"on",6,189
"1341","amazing","and",221,"how",174,"i",152,4698
"1342","experience","of",182,"and",169,"with",157,2745
"1343","worked","out",189,"on",186,"with",168,1744
"1344","surround","yourself",28,"sound",14,"me",7,99
"1345","audio","and",19,"book",11,"of",9,305
"1346","equivalent","of",98,"to",61,"in",8,218
"1347","3d","at",8,"and",7,"printer",7,254
"1348","joey","votto",8,"and",6,"is",6,123
"1349","shepp","socialventure",1,NA,NA,NA,NA,1
"1350","socialventure","thanks",1,NA,NA,NA,NA,1
"1351","yeah","i",855,"i'm",172,"but",142,4866
"1352","straight","to",144,"up",96,"from",73,1278
"1353","doubt","that",141,"it",73,"the",51,1086
"1354","charge","of",160,"and",30,"for",30,622
"1355","date","with",117,"of",77,"for",74,1658
"1356","encouraging","the",19,"me",10,"words",10,220
"1357","universal","studios",21,"language",10,"and",9,309
"1358","classroom","and",30,"i",8,"to",7,289
"1359","participation","in",39,"of",9,"and",8,137
"1360","detroit","is",17,"and",16,"to",16,379
"1361","schools","and",92,"in",52,"are",44,926
"1362","nokidhungry","award",2,"michigan",1,"needs",1,4
"1363","michigan","state",31,"and",17,"is",11,315
"1364","wait","to",2191,"for",1353,"until",350,6482
"1365","memory","of",151,"and",47,"is",29,749
"1366","rest","of",1757,"in",119,"and",77,2845
"1367","why","i",1201,"do",883,"is",796,12583
"1368","post","about",216,"on",210,"a",208,5330
"1369","mom","and",332,"is",229,"i",108,3512
"1370","opened","the",141,"up",105,"in",51,822
"1371","warning","to",26,"for",23,"that",14,388
"1372","sore","throat",55,"from",33,"and",17,287
"1373","cramping","and",5,"but",2,"up",2,23
"1374","interstates","federal",1,"on",1,"show",1,3
"1375","syfy","games",3,"channel",2,"10pmtwins",1,29
"1376","channel's","food",2,"guitar",1,"matthew",1,6
"1377","waverly","place",5,"farmers",2,"hills",1,10
"1378","hills","and",34,"of",17,"to",14,341
"1379","haunting","violet",4,"and",3,"him",3,73
"1380","grammyglam","really",1,NA,NA,NA,NA,1
"1381","site","and",120,"is",120,"for",89,1930
"1382","grammys","i",5,"and",4,"are",4,79
"1383","fashion","show",83,"and",55,"week",51,1015
"1384","meets","the",47,"world",16,"a",15,284
"1385","needa","get",7,"stop",6,"go",5,72
"1386","doctor","who",103,"and",73,"is",35,1061
"1387","third","of",106,"time",70,"world",56,1622
"1388","nipple","cream",2,"to",2,"____",1,30
"1389","nipples","are",4,"and",3,"the",2,36
"1390","cat","is",55,"and",54,"in",34,1008
"1391","dnt","have",20,"want",17,"get",13,275
"1392","nomore","i",2,"and",1,"candy",1,12
"1393","ex","wife",29,"girlfriend",27,"boyfriend",24,646
"1394","it'd","be",139,"make",9,"mean",4,185
"1395","car","and",249,"in",87,"with",80,3210
"1396","baseball","game",50,"season",39,"is",32,836
"1397","interested","in",1088,"to",79,"i",22,1551
"1398","joining","us",112,"the",95,"in",33,473
"1399","football","team",63,"game",62,"season",49,1185
"1400","theyake","talking",1,NA,NA,NA,NA,1
"1401","dolls","and",19,"have",7,"are",6,142
"1402","called","the",446,"a",192,"me",189,4472
"1403","updated","on",30,"my",17,"the",15,327
"1404","version","of",726,"is",47,"and",29,1295
"1405","ux","and",5,"designer",3,"designers",3,56
"1406","avengers","was",40,"is",24,"movie",16,436
"1407","enough","to",1731,"for",366,"of",226,5307
"1408","billion","in",67,"dollars",34,"dollar",24,579
"1409","evil","and",54,"is",22,"in",21,796
"1410","face","and",228,"of",223,"the",143,3407
"1411","him","to",1239,"and",931,"in",587,14722
"1412","currently","in",80,"working",45,"have",41,1158
"1413","position","to",112,"of",96,"in",70,1101
"1414","open","to",311,"the",220,"for",202,4221
"1415","iran","and",25,"is",10,"has",7,188
"1416","nuclear","power",32,"weapons",23,"plant",10,281
"1417","scientist","and",13,"in",8,"who",6,148
"1418","hometown","of",25,"and",9,"i",6,150
"1419","red","and",147,"sox",143,"carpet",90,3173
"1420","hook","up",73,"you",26,"me",22,342
"1421","brooklyn","and",23,"bridge",20,"ny",17,436
"1422","hiya","are",1,"fashion",1,"figured",1,23
"1423","miami","heat",49,"beach",37,"dolphins",34,726
"1424","305","232",8,"534",2,"06",1,41
"1425","mia","and",9,"for",9,"on",6,129
"1426","heat","and",148,"the",65,"to",56,1656
"1427","awestruck","by",2,"it",1,"listening",1,11
"1428","founder","of",128,"and",26,"john",4,264
"1429","company","and",137,"that",120,"is",97,2319
"1430","small","and",128,"town",126,"business",114,4095
"1431","delicious","and",66,"i",41,"food",23,976
"1432","beer","and",259,"is",123,"in",83,3152
"1433","couldn't","be",135,"get",128,"find",89,1770
"1434","cancer","and",65,"in",27,"is",21,803
"1435","woo","hoo",121,"woo",24,"hooo",9,380
"1436","racism","and",27,"is",25,"in",9,209
"1437","assign","a",3,"an",2,"it",2,32
"1438","meaning","of",150,"to",117,"that",41,817
"1439","robin","hood",18,"lynch",11,"and",9,219
"1440","d.g","hargrett",1,"kelley",1,NA,NA,2
"1441","kelley","said",4,"is",3,"a",2,37
"1442","canon","eos",7,"and",5,"of",5,90
"1443","lens","of",15,"and",10,"i",6,147
"1444","suggestions","for",75,"on",50,"of",18,418
"1445","tsa","agents",3,"agent",2,"is",2,58
"1446","security","and",62,"guard",31,"of",28,920
"1447","relearning","curve",1,"that",1,"the",1,3
"1448","economic","development",49,"and",44,"growth",40,798
"1449","supply","of",73,"and",26,"the",18,393
"1450","segment","of",26,"on",24,"with",9,167
"1451","internet","and",93,"is",76,"for",40,1480
"1452","how's","the",104,"your",70,"it",62,486
"1453","muffet","at",1,"sat",1,"she",1,4
"1454","lame","ass",15,"i",15,"but",14,314
"1455","economics","and",13,"of",12,"is",5,129
"1456","cracker","barrel",20,"and",4,"crust",3,79
"1457","barrel's","food",1,NA,NA,NA,NA,1
"1458","nms30","neat",1,"something",1,NA,NA,2
"1459","american","idol",129,"people",69,"history",45,2897
"1460","history","of",450,"and",194,"the",58,2291
"1461","learner","and",3,"another",1,"as",1,17
"1462","www.historyglobe.com","jamestown",2,NA,NA,NA,NA,2
"1463","tryouts","today",6,"for",5,"and",3,35
"1464","questions","about",173,"and",140,"for",71,1763
"1465","816","389",1,"5648",1,"753",1,4
"1466","797","2909",1,"4529",1,"8791",1,3
"1467","4529","good",1,NA,NA,NA,NA,1
"1468","donating","to",11,"a",7,"all",5,95
"1469","thanksgiving","day",36,"to",35,"and",33,550
"1470","size","of",275,"and",110,"for",35,1313
"1471","btw","i",82,"i'm",25,"the",20,550
"1472","places","to",142,"in",77,"that",60,1250
"1473","jerz","and",1,"i'm",1,"next",1,5
"1474","willing","to",747,"and",15,"2",6,849
"1475","umbrella","and",7,"in",7,"on",5,97
"1476","light","and",240,"of",226,"on",101,2967
"1477","useful","for",57,"to",48,"and",34,513
"1478","fiction","and",52,"is",25,"the",19,638
"1479","communists","and",6,"the",4,"took",3,34
"1480","congress","and",33,"to",30,"has",15,452
"1481","voter","registration",19,"id",13,"fraud",12,111
"1482","fraud","and",23,"in",7,"is",7,173
"1483","welfare","of",22,"and",18,"state",11,177
"1484","queen","of",97,"and",34,"is",19,539
"1485","thing","i",786,"that",647,"to",583,8495
"1486","breaking","news",101,"the",86,"dawn",42,838
"1487","says","that",298,"the",238,"he",207,4356
"1488","wire","rack",29,"and",19,"is",8,298
"1489","crazy","but",98,"and",90,"i",82,2788
"1490","living","in",612,"room",306,"with",109,2790
"1491","dead","and",108,"in",74,"or",38,1813
"1492","ofc","apple",1,"area",1,"be",1,10
"1493","primadonna","boy",1,"is",1,"with",1,3
"1494","standout","but",2,"in",2,"track",2,40
"1495","give","me",878,"you",825,"up",667,7885
"1496","another","day",310,"one",254,"great",162,9059
"1497","lis","and",2,"rectangle",2,"520",1,27
"1498","bc","i",74,"of",41,"it",21,460
"1499","hated","the",33,"it",28,"that",12,273
"1500","walk","in",237,"to",176,"away",153,2645
"1501","outside","of",429,"the",394,"and",173,2683
"1502","temp","is",10,"and",6,"at",4,105
"1503","dropped","off",59,"the",54,"my",37,657
"1504","45","minutes",143,"min",19,"minute",19,771
"1505","degrees","in",69,"and",44,"for",32,622
"1506","guess","i",425,"what",323,"that",135,3362
"1507","put","it",696,"the",618,"on",544,7326
"1508","plus","i",129,"the",97,"a",93,1556
"1509","hi","to",119,"i",96,"there",87,2044
"1510","heather","and",16,"is",4,"i",3,125
"1511","travel","to",98,"and",64,"the",32,1061
"1512","tourism","and",8,"industry",8,"in",6,116
"1513","travelcom","hashtag",1,NA,NA,NA,NA,1
"1514","hashtag","for",33,"is",12,"i",5,199
"1515","interesting","to",234,"and",143,"i",59,2505
"1516","stats","and",17,"on",12,"are",9,202
"1517","beter","day",1,"details",1,"suck",1,3
"1518","per","day",133,"cent",118,"year",93,1527
"1519","ladies","and",87,"in",33,"free",30,974
"1520","style","of",173,"and",141,"is",59,1745
"1521","fitted","with",20,"for",8,"into",5,96
"1522","cle","de",2,"i",2,"in",2,39
"1523","tribe","of",16,"called",8,"and",5,149
"1524","program","and",104,"is",84,"for",65,1634
"1525","11am","to",13,"on",12,"1pm",8,163
"1526","freedoms","and",7,"of",4,"they",4,53
"1527","sake","of",104,"and",13,"i",12,285
"1528","castle","in",15,"and",9,"at",9,235
"1529","clinton","hill",11,"was",11,"and",9,192
"1530","seating","for",7,"and",6,"is",6,86
"1531","limited","to",122,"edition",52,"time",46,732
"1532","consistent","with",58,"and",10,"in",9,260
"1533","capitalization","in",3,"is",2,"of",2,10
"1534","menus","and",7,"are",3,"as",2,58
"1535","title","of",139,"and",42,"is",36,1096
"1536","case","of",423,"you",222,"i",130,3018
"1537","sentence","of",27,"i",20,"for",17,387
"1538","lscon","and",1,"false",1,"i'll",1,7
"1539","gcse","and",1,"between",1,"english",1,8
"1540","results","of",100,"in",88,"are",60,953
"1541","proud","of",848,"to",312,"and",34,1597
"1542","deer","and",16,"in",9,"hunter",5,162
"1543","wtf","is",113,"i",36,"are",13,548
"1544","sneak","peek",50,"in",23,"peak",21,248
"1545","jump","on",82,"in",77,"off",46,775
"1546","front","of",1193,"door",120,"and",111,2539
"1547","jeezz","not",1,NA,NA,NA,NA,1
"1548","government","is",118,"and",114,"to",110,2125
"1549","funding","for",53,"and",19,"to",15,358
"1550","porn","star",20,"and",12,"is",10,226
"1551","bots","are",2,"with",2,"all",1,25
"1552","least","i",279,"one",277,"a",203,4526
"1553","facebook","page",249,"and",227,"is",72,2450
"1554","likes","to",198,"of",113,"you",60,1040
"1555","authorized","to",10,"by",7,"the",5,57
"1556","bloggers","and",32,"are",17,"who",16,340
"1557","lady","gaga",95,"in",58,"who",49,1454
"1558","telling","me",308,"you",148,"the",120,1407
"1559","4sho","i'm",1,"nice",1,"ok",1,5
"1560","emergency","room",39,"powers",12,"management",11,381
"1561","brussel","sprouts",18,"sprout",1,NA,NA,19
"1562","sprouts","and",9,"through",3,"with",3,78
"1563","fb","page",65,"and",39,"i",19,790
"1564","hugtour","to",1,NA,NA,NA,NA,1
"1565","hawaii","and",15,"for",10,"i",8,229
"1566","ahah","i",4,"it",2,"thank",2,38
"1567","loved","the",425,"it",405,"ones",159,2879
"1568","tix","to",77,"for",59,"are",11,310
"1569","show","you",420,"up",379,"on",272,8786
"1570","sold","out",276,"in",50,"for",45,1047
"1571","wine","and",201,"tasting",62,"is",43,1631
"1572","rain","and",133,"in",61,"is",61,1594
"1573","draft","of",48,"and",26,"is",25,718
"1574","mini","album",12,"heart",12,"me",12,672
"1575","fall","in",243,"asleep",208,"into",118,2369
"1576","actually","a",196,"i",152,"have",130,6019
"1577","underestimated","how",6,"the",5,"but",3,23
"1578","empire","state",32,"and",19,"in",16,277
"1579","strikes","me",33,"again",24,"out",12,205
"1580","explaining","the",43,"that",20,"how",17,202
"1581","nietzsche's","concepts",1,"overman",1,NA,NA,2
"1582","concepts","and",22,"of",19,"in",12,165
"1583","bushels","of",3,NA,NA,NA,NA,3
"1584","catnip","toy",2,"can't",1,"felix",1,11
"1585","pigs","in",10,"and",6,"are",4,98
"1586","tomorrow","night",364,"is",275,"and",247,5156
"1587","review","of",166,"and",63,"the",57,1198
"1588","schedule","is",51,"for",47,"and",41,704
"1589","determine","the",69,"whether",29,"if",28,323
"1590","spend","the",219,"a",210,"time",164,1866
"1591","writing","a",236,"and",196,"about",152,3615
"1592","pencil","and",14,"in",13,"skirt",10,175
"1593","respect","for",219,"and",83,"to",81,1057
"1594","flamed","and",2,"appearance",1,"his",1,5
"1595","woke","up",751,"me",51,"to",11,882
"1596","lost","in",255,"my",206,"a",151,3152
"1597","swagg","i",4,"on",2,"3",1,35
"1598","bomb","and",14,"in",12,"i",9,319
"1599","pillow","and",10,"covers",8,"fight",8,199
"1600","we've","been",288,"got",250,"had",112,1389
"1601","karaoke","at",11,"tonight",9,"with",6,131
"1602","surly","abrasive",3,"and",2,"badly",1,17
"1603","goat","cheese",60,"and",7,"milk",6,203
"1604","join","us",726,"the",339,"in",169,2185
"1605","uh","oh",139,"huh",35,"no",26,542
"1606","character","and",119,"is",90,"in",88,1610
"1607","reflections","on",13,"of",6,"in",3,47
"1608","monologues","about",3,"and",2,"amazing",1,18
"1609","brought","to",163,"me",113,"the",100,1639
"1610","coach","and",46,"of",30,"at",21,1001
"1611","wearing","a",327,"the",88,"my",86,1446
"1612","packer","fans",13,"fan",12,"game",6,83
"1613","hoodie","and",12,"in",5,"on",4,85
"1614","clairy","i",1,NA,NA,NA,NA,1
"1615","playing","with",305,"the",263,"in",212,3499
"1616","26","2012",20,"and",18,"years",16,520
"1617","392","0359",1,"4041",1,"chord",1,4
"1618","remaining","1",17,"in",17,"ingredients",15,436
"1619","buy","a",507,"the",223,"it",182,3265
"1620","period","of",220,"and",52,"in",36,994
"1621","welcoming","the",11,"and",10,"to",8,130
"1622","newest","followers",20,"member",13,"follower",9,345
"1623","member","of",433,"for",20,"who",20,1047
"1624","ronmann","www.myfreegenealogy.com",1,NA,NA,NA,NA,1
"1625","shh","don't",6,"i",2,"that's",2,22
"1626","finally","got",258,"i",112,"get",106,4176
"1627","tonight.don't","miss",1,NA,NA,NA,NA,1
"1628","cant","wait",545,"believe",105,"sleep",64,1829
"1629","till","the",217,"i",133,"you",82,1621
"1630","school","and",450,"i",246,"in",232,7483
"1631","ends","up",122,"with",83,"of",56,772
"1632","sad","to",205,"that",133,"and",116,2032
"1633","shocking","to",15,"and",13,"i",9,187
"1634","design","team",151,"and",134,"of",57,1860
"1635","innovation","and",24,"in",22,"is",17,249
"1636","jobs","and",114,"in",77,"are",41,1195
"1637","legacy","of",47,"and",14,"is",8,212
"1638","inspiration","for",88,"to",87,"and",70,805
"1639","ma","and",12,"from",6,"i",6,380
"1640","fischer's","2",1,"champlain",1,"is",1,3
"1641","blogs","and",100,"i",49,"that",32,703
"1642","luvved","it",1,"that",1,NA,NA,2
"1643","sleeping","in",96,"with",51,"on",41,759
"1644","street","and",140,"in",75,"from",63,2221
"1645","mafia","and",7,"had",3,"is",3,56
"1646","karachi","pakistan",2,"and",1,"calling",1,14
"1647","eliminated","the",12,"from",11,"a",3,79
"1648","uprooted","and",3,"from",3,"around",1,12
"1649","destroyed","by",28,"my",15,"the",15,239
"1650","chuck","norris",38,"e",22,"brown",17,308
"1651","nuggets","and",8,"of",8,"are",7,203
"1652","5000","followers",4,"10000",3,"business",3,64
"1653","channels","and",22,"to",12,"of",8,157
"1654","partying","with",16,"in",11,"and",9,92
"1655","celebration","of",96,"with",17,"and",15,419
"1656","reminder","of",86,"that",75,"to",41,440
"1657","applications","for",34,"are",14,"to",14,239
"1658","practicum","also",1,"are",1,"friday",1,8
"1659","due","to",1346,"date",44,"in",42,1895
"1660","kennedy","was",11,"is",10,"and",7,163
"1661","battling","the",13,"a",11,"cancer",7,83
"1662","trend","in",30,"of",22,"i",18,422
"1663","pointless","and",10,"to",6,"i",4,121
"1664","hm","i",57,"what",15,"maybe",13,408
"1665","0put","on",1,NA,NA,NA,NA,1
"1666","calendar","for",26,"and",13,"is",13,305
"1667","altho","i",3,"along",1,"he",1,11
"1668","knee","and",22,"jerk",20,"deep",17,371
"1669","deep","in",102,"breath",72,"and",66,1557
"1670","labeling","it",2,"3600",1,"a",1,21
"1671","3600","n",3,"americans",1,"block",1,8
"1672","bottles","of",107,"and",38,"at",11,411
"1673","cannot","be",361,"wait",183,"do",64,2073
"1674","force","of",62,"and",59,"in",52,1035
"1675","oneself","to",16,"in",8,"is",8,82
"1676","zone","and",34,"but",15,"is",11,387
"1677","saturday's","game",3,"show",3,"performance",2,65
"1678","burst","into",45,"of",28,"out",19,178
"1679","bubble","bath",18,"and",14,"gum",10,206
"1680","sometimes","i",629,"you",207,"the",171,3724
"1681","prove","that",71,"it",67,"to",58,524
"1682","point","of",605,"in",315,"i",234,4527
"1683","blind","to",25,"and",19,"man",17,393
"1684","yourself","and",207,"to",165,"a",140,2679
"1685","noticing","that",14,"a",12,"the",12,107
"1686","started","to",521,"with",215,"the",159,4443
"1687","foot","in",62,"of",37,"and",32,786
"1688","hes","a",21,"not",18,"the",18,272
"1689","afraid","to",293,"of",273,"that",47,902
"1690","doin","it",32,"the",16,"what",13,305
"1691","shoot","me",93,"for",63,"the",56,1052
"1692","beach","and",87,"in",45,"for",30,1320
"1693","rachel","and",15,"is",13,"maddow",10,251
"1694","allyn","johnson",1,"joslyn",1,"only",1,5
"1695","sun","is",145,"and",108,"was",59,1830
"1696","joined","the",151,"us",52,"by",48,598
"1697","matthew","6",13,"5",12,"and",11,305
"1698","im","not",416,"so",399,"going",245,6223
"1699","thru","the",98,"my",24,"it",19,605
"1700","pain","and",150,"in",140,"of",82,1535
"1701","hurts","so",32,"to",29,"me",24,442
"1702","unless","you",299,"i",99,"they",88,1235
"1703","mike","and",43,"brown",21,"wallace",20,879
"1704","tolbert","ahmad",1,"can",1,"for",1,5
"1705","score","is",36,"a",31,"and",29,736
"1706","25","years",100,"minutes",59,"of",42,1394
"1707","points","out",102,"in",96,"for",77,1238
"1708","vegaslife","counting",1,NA,NA,NA,NA,1
"1709","counting","down",72,"on",48,"the",42,360
"1710","first","time",1648,"day",441,"place",318,17018
"1711","vegas","for",41,"and",35,"is",21,729
"1712","filled","with",620,"the",53,"out",44,1142
"1713","art","and",195,"of",195,"is",101,2679
"1714","atleast","i",20,"you",6,"once",3,111
"1715","wear","a",217,"it",118,"my",74,1703
"1716","bag","of",209,"and",87,"i",37,1158
"1717","brewers","game",36,"are",29,"and",19,575
"1718","dj","and",15,"in",11,"is",9,496
"1719","set","up",752,"of",492,"in",285,4933
"1720","wants","to",1379,"a",130,"me",85,2410
"1721","gaga","and",9,"i",9,"is",6,149
"1722","19","years",27,"and",24,"year",17,748
"1723","6p","9p",3,"8p",2,"and",2,19
"1724","9p","et",3,"at",2,"est",2,27
"1725","chrome","and",8,"for",3,"is",3,111
"1726","number","of",1385,"one",156,"and",97,3065
"1727","precise","and",9,"but",4,"moment",4,98
"1728","mcdonalds","for",10,"and",7,"right",5,119
"1729","ew","i",15,"ew",4,"it's",3,87
"1730","powdered","sugar",35,"metal",2,"and",1,62
"1731","david","and",40,"thoreau",31,"cameron",26,1286
"1732","speaking","of",254,"to",70,"at",64,1049
"1733","bike","ride",61,"to",49,"and",41,777
"1734","co","workers",104,"founder",63,"worker",60,1312
"1735","account","for",113,"of",112,"and",72,1417
"1736","welcome","to",944,"back",210,"and",79,2765
"1737","blessed","to",135,"with",77,"day",62,826
"1738","blessing","to",44,"of",29,"and",26,299
"1739","matter","how",496,"what",485,"of",359,2638
"1740","bestfriends","house",3,"3",2,"and",2,35
"1741","die","for",100,"and",80,"i",69,1544
"1742","vision","of",100,"and",55,"for",31,565
"1743","found","a",610,"out",565,"the",421,5668
"1744","bbl","did",1,"getting",1,"going",1,11
"1745","imma","be",35,"go",27,"get",17,361
"1746","spreading","the",146,"it",9,"rumors",5,251
"1747","lions","and",15,"are",8,"have",5,163
"1748","snicker","and",1,"at",1,"bar",1,7
"1749","freezer","and",24,"for",18,"paper",7,149
"1750","ohh","i",32,"yeah",12,"well",11,227
"1751","mine","is",135,"and",119,"i",75,1823
"1752","doesn't","have",289,"mean",270,"make",167,4128
"1753","vanish","and",3,"into",2,"at",1,20
"1754","digging","the",33,"into",16,"in",15,212
"1755","twitering","at",1,NA,NA,NA,NA,1
"1756","etta","james",20,"candy",1,"they",1,24
"1757","james","and",51,"bond",44,"is",33,1127
